id,latitude,longitude,nome,descrizione
29,4313907693,1220636539.0,Castello dei Cavalieri di Malta,"Nato come ospedale dei Cavalieri Gerosolimitani, attuali Cavalieri di Malta, e intitolato a S. Giovanni Battista, il nucleo originario del castello fu edificato alla metA  del secolo XII non lontano dallaimportante asse viario tra Perugia, il Trasimeno e la Toscana."
30,4313566239,1216716725.0,Castello di Zocco,"Edificato nei pressi di Magione, il castello di Zocco domina dall'alto il Lago Trasimeno. Nei secoli rappresentA2 il piA1 possente insediamento militare della zona, disponendo di ben sette torri, di cui oggi ne rimangono cinque, di tre porte e di una poderosa cinta muraria."
31,4302211126,1207074586.0,Museo Don Aldo Rossi e Pinacoteca Chiesa San Giuseppe,"Il museo odierno, sezione di Paciano del sistema Museo diffuso dell'archidiocesi di Perugia-CittA  della Pieve, nasce, in collaborazione con la Soprintendenza ai Beni Storici ed Artistici dell'Umbria, dalla volontA  di valorizzare e conservare pezzi e memorie del passato della comunitA , cosA! come giA  ideato da Don Aldo Rossi nel 1994."
32,429702929,1208671034.0,Museo del vetro,"Il Museo del vetro di Piegaro A"" allestito all'interno dell'antica fabbrica del vetro risalente ai primi dell'Ottocento posta nel centro storico del paese."
33,4312851908,1228736143.0,Palazzo del Capitano del Popolo - Corciano,"Il palazzo del Capitano del Popolo, detto anche palazzo del Capitano del Contado si trova alla fine di via Fusaiola nei pressi di piazza Coragino a Corciano."
34,4312854673,1228746715.0,Palazzo dei Priori - Corciano,"Il palazzo dei Priori e della Mercanzia si trova lungo il corso principale di Corciano, corso Rotelli, dove si allineano tutti i palazzi pubblici che documentano la rilevanza politica ed economica del Castello nel Medioevo."
35,4295272186,1200375868.0,Palazzo della Corgna - Cittǃ�� della Pieve,"Palazzo della Corgna A"" certamente la piA1 rilevante delle dimore signorili di CittA  della Pieve."
36,4273443887,1273790294.0,Casa Romana,"La Casa Romana A"" un esempio di abitazione signorile della prima etA  imperiale; lo stile degli affreschi, dei mosaici e il tipo di muratura collocano la Casa Romana nel I secolo d.C."
37,433642888,1232669581.0,Complesso di San Francesco a Montone,"Il complesso di San Francesco a Montone A"" un ex insediamento francescano risalente al XIV secolo, costituito dalla chiesa gotica, dalla pinacoteca ospitata nell'adiacente convento e da un chiostro risalente al XVI-XVII secolo."
38,4321366449,1206592503.0,Palazzo del Capra - Tuoro sul Trasimeno,"Il palazzo del Capra chiamato anche Palazzo di Nardo sorge all'interno del paese di Tuoro, appena usciti dal centro abitato in direzione di Sanguineto."
39,429718436,1208728549.0,Chiesa della Madonna della Crocetta,La piccola chiesa della Madonna della Crocetta sorge sulla strada che conduce al paese di Piegaro.
40,4279519511,1250669082.0,Castel Rinaldi,"Alla scoperta del pittoresco borgo medievale, frazione di Massa Martana, tra storia, archeologia e natura."
41,4279234364,1309269466.0,Prosciutto di Norcia,"Esistono due tipologie di Prosciutto di Norcia. Il primo, chiamato ""tipico di Norcia"", viene stagionato per un massimo di un anno mentre il secondo, ""l'antico di Norcia"", viene stagionato per ben due anni"
44,4302900162,1209900674.0,Collegiata di San Michele Arcangelo,"La collegiata di San Michele Arcangelo A"" la chiesa parrocchiale di Panicale."
45,4307686526,1207658419.0,Santuario della Madonna della Carraia,"Il santuario della Madonna della Carraia, situato lungo la strada che congiunge la localitA  di Panicarola a quella di Carraia, fu edificato nella seconda metA  del XVII secolo."
46,4284225723,1275690925.0,Tempietto del Clitunno - Campello sul Clitunno,"Il Tempietto del Clitunno, piccolo sacello a forma di tempio, si trova nel comune di Campello sul Clitunno, ai piedi del castello di Pissignano, dominante la valle spoletina"
48,4278175215,1241046424.0,Todi Sotterranea,Una cittA  sotto la cittA  dove si nasconde un affascinante e intricato complesso di cavitA  create dallauomo nei secoli
49,4312758914,1205565629.0,Rocca del Leone,"Ubicata all'interno dell'abitato di Castiglione del Lago, la Rocca del Leone domina la parte orientale di questo che si protende verso il Lago Trasimeno."
51,4305539445,1221879779.0,"Mugnano, il borgo dei ""muri dipinti""","Poco distante dal Lago Trasimeno si trova Mugnano, pittoresco borgo conosciuto nel mondo per i suoi muri dipinti"
52,4302859447,120984905.0,Teatro Cesare Caporali - Panicale,Il teatro Caporali sorge allainterno centro storico del borgo di Panicale e merita di essere visitato sia per laeleganza della struttura interna riccamente decorata sia per gli spettacoli teatrali che vi vengono allestiti.
53,4302869844,1209713919.0,"Museo del Tulle ""Anita Belleschi Grifoni"" - Panicale","Inaugurato nel 2001, il museo ha sede nella cinquecentesca chiesa di Sant'Agostino a Panicale"
54,4301227875,1214800628.0,Santuario della Madonna di Mongiovino - Panicale,Il Santuario di Mongiovino o della Madonna di Mongiovino sorge a breve distanza da Panicale (7 km. circa) ed appena sotto laantico Castello di Mongiovino.
55,4298860765,1214165816.0,Santuario della Madonna delle Grondici - Panicale,"Il Santuario della Madonna delle Grondici sorge in una posizione panoramica molto suggestiva nei pressi della frazione di Tavernelle, nel comune di Panicale."
56,4302101688,1206760044.0,Chiesa della Madonna della Stella,"La chiesa della Madonna della Stella A"" situata nella parte meridionale del piccolo borgo di Paciano, appena fuori Porta Rastrella."
57,4297690797,1198677435.0,Il Giardino dei Lauri - Cittǃ�� della Pieve,Il nuovo spazio dedicato all'arte contemporanea creato da i collezionisti Angela e Massimo Lauro per esporre parte della loro collezione personale
58,4307156709,1231645037.0,Necropoli etrusca di Strozzacapponi - Corciano,"Laimpianto di Strozzacapponi costituisce un perfetto esempio di necropoli organizzata secondo un preciso disegno. Il rito di sepoltura A"" quello dellaincinerazione, normalmente utilizzato nel territorio perugino in etA  ellenistica. Il corpo del defunto veniva bruciato e le ceneri raccolte allainterno di urne di travertino o di olle in ceramica."
59,4312850797,1228785677.0,Chiesa di Santa Maria Assunta,"La chiesa parrocchiale di Santa Maria Assunta si trova vicino alla piazza principale di Corciano, intitolata a Coragino, fondatore della cittA , che secondo un'antica leggenda era il mitico compagno dell'eroe greco Ulisse."
60,4314273307,1228688614.0,Pieve del Vescovo,"Il castello di Pieve del Vescovo, cosA! chiamato perchA(c) da secoli A"" proprietA  della Mensa Arcivescovile di Perugia, sorge su un verde colle che domina la valle del Caina, a un chilometro dal borgo di Corciano."
61,4312849857,1228641122.0,Palazzo Municipale - Corciano,The Palazzo Municipale of Corciano is found on Corso Cardinale Luigi Rotelli.
62,4345768488,1224090274.0,Laboratorio e Collezione Tessile Tela Umbra,"Produzione artigianale di manufatti in lino puro, su telai manuali di fine a800, secondo disegni originali medioevali e rinascimentali"
63,4271931758,1211086387.0,Merletto di Orvieto,Il merletto orvietano tra tradizione e innovazione: arte antica e impieghi moderni
64,4345731999,1223882033.0,Tipografia Grifani-Donati,Antica tipografia fondata nel 1799 che utilizza per le lavorazioni gli antichi macchinari impiegati nel passato e le tecniche tradizionali.
65,4307419299,1260629055.0,"Fra Jorge e La Statio Peregrinorum, luogo di arrivo della Via di Francesco",...e punto di condivisione di tante storie di cammino.
66,4265242528,1295221372.0,Torre dell'Orologio - Monteleone di Spoleto,"Costruita intorno al XIII secolo, la Torre dell'Orologio di Monteleone di Spoleto A"" una delle tre porte della seconda cinta muraria."
67,4311440402,1239175617.0,Perugia Officina Scienza Tecnologia,"il museo scientifico interattivo del Comune e della Provincia di Perugia, punto di riferimento in Umbria per esplorare launiverso della cultura scientifica."
68,4253670241,1275434388.0,Lago di Piediluco,"Collocato alle propaggini sud-orientali dellaUmbria, con un ramo che sconfina nel Lazio, il lago di Piediluco rappresenta il piA1 grande bacino lacustre naturale dellaUmbria dopo il Trasimeno."
69,4287645586,1210169675.0,L'acqua termale di Parrano,"Parrano, immerso nella collina umbra, A"" un'apprezzata meta turistica per la presenza di numerose sorgenti di acqua utilizzate nelle cure idropiniche"
70,4254969795,1271934958.0,Parco archeologico industriale di Campacci di Marmore,"Un vero e proprio museo a cielo aperto: A"" il Parco di Archeologia Industriale di Campacci di Marmore, situato vicino il belvedere superiore della Cascata delle Marmore, lungo il sentiero nAdeg 5."
71,4289130864,1302025955.0,Il piccolo borgo di Castelvecchio di Preci,Il castello di epoca tardo medievale (XIII-XIV secolo) non presenta piA1 tracce di fortificazione.
72,4269732534,1293393384.0,Usigni,Il piccolo nucleo medievale di Usigni sorge su uno scosceso sperone roccioso che si protende nella sottostante valle del Tissino; sulla quale affaccia anche il caratteristico borgo di Poggiodomo.
73,4283996259,12948166.0,Gli Antichi Bagni di Triponzo,"Si tratta dellaunico stabilimento termale in Umbria alimentato con acqua solfurea ricca di calcio che, indipendentemente dalla stagione, mantiene la sua temperatura costantemente a 30AdegC, con notevoli caratteristiche e qualitA  terapeutiche."
80,4302614985,,Patata rossa di Colfiorito,"Introdotte in Umbria nella prima metA  del XVIII secolo, le patate si sono diffuse a macchia di leopardo in tutta la regione"
82,4255465155,1241610039.0,Fichi Girotti,"I fichi Girotti sono un prodotto tipico della cittA  di Amelia. Farciti di cioccolata e frutta secca, vengono prodotti e confezionati dalla famiglia Girotti dal 1830 e sono tutt'oggi un prodotto di pasticceria molto diffuso."
84,4287740914,1274771351.0,Sedano nero di Trevi,"Coltivato in zona fin dal XVII secolo, A"" uno dei sei Presidi Slow Food della regione"
85,4279234364,1309269466.0,Coglioni di mulo,"Rintracciabili unicamente nella tradizione della cittA  di Norcia, i coglioni di mulo fondano la propria origine nel consumo di insaccati di carne di mulo del vicino Abruzzo"
86,4282910526,1320563391.0,La lenticchia di Castelluccio di Norcia IGP,"Preziosa e unica, per le piccole dimensioni e dal sapore inconfondibile, A"" coltivata sui Piani carsici di Castelluccio di Norcia, circa 20 km quadrati di terreno a circa 1.500 metri di altitudine, allainterno del Parco Nazionale dei Monti Sibillini."
88,4271931758,1211086387.0,Fagiolo secondo del Piano di Orvieto,"Laoro bianco dellaorvietano, salvato dallaestinzione grazie allaimpegno dei coltivatori locali."
91,4267241877,1311838561.0,La Roveja di Civita di Cascia,"Un piccolo legume tipico della zona di Colfiorito e orgoglio della zona di Cascia, dove A"" presidio Slow Food"
94,4271931758,1211086387.0,Vini DOC Orvieto - Grechetto di Orvieto,"LaOrvieto DOC A"" tra i vini umbri piA1 famosi e rappresenta la maggioranza dellaarea vitata della regione."
95,4266222204,1226172007.0,La necropoli del Vallone di San Lorenzo a Montecchio,Una vastissima area sepolcrale della civiltA  umbro-etrusca risalente al VI-IV sec. a.C. lungo le colline che digradano verso il Tevere. Un meraviglioso patrimonio archeologico che riserva inaspettate sorprese.
96,4336551555,1258325616.0,Gola del Bottaccione,La Gola del Bottaccione: sito geologico e scrigno d'arte
98,4306956254,1261423635.0,"Museo della Memoria, Assisi 1943-1944","Allestito nelle sale del Vescovado, il ""Museo della Memoria, Assisi 1943-1944"" racconta la storia di trecento ebrei salvati grazie allo spirito dell'accoglienza francescana di Assisi."
99,4287882286,1303884306.0,Preci e l'antica scuola di chirurgia,Il caratteristico borgo di Preci sorge non distante da Norcia a confine con la regione Marche.
100,4271316194,1283423315.0,Fonti di Valcasana,"Il parco di Valcasana si trova in Valnerina, alle porte di Scheggino."
101,4281964847,1268859201.0,Santuario Madonna Bruna,"E' uno spettacolare esempio di architettura rinascimentale bramantesca, fu dedicato in seguito ad un miracolo, proprio sulla riva del torrente Tatarena."
102,434372774,122492867.0,Museo Malacologico Malakos di Cittǃ�� di Castello,"Dal Pacifico all'Oceano Indiano, dal Mar Rosso al Mediterraneo: A"" ""Malakos"" che, con circa 600mila esemplari catalogati, rappresenta la collezione privata di conchiglie piA1 grande d'Europa."
103,4281255736,1197385282.0,Villa Cahen,La Villa fu costruita nel territorio del Comune di Allerona nel 1880 dal ricchissimo finanziere di Anversa Edouard Cahen
104,4281241416,1197245742.0,Chiesa di Santa Maria Assunta - Allerona,La Chiesa Parrocchiale di Santa Maria Assunta (XV sec.) si trova all'interno del borgo.
105,4265168383,1295186537.0,Farro di Monteleone di Spoleto DOP,"Una varietA  di farro molto antica, le cui prime tracce risalgono allaEtA  del Bronzo, che nel 2010 ha ottenuto la Denominazione di Origine Protetta."
107,4293152669,1260901053.0,Il Porto Romano di Bevagna,Alla scoperta dello scalo fluviale dell'antica Mevania
108,425877138,1229562728.0,La Rocca di Alviano,"Rivivete laappassionante storia dellaantico castello che domina su unaaltura alla sinistra del Tevere, tra Orvieto e Amelia."
109,4289365331,1265238455.0,Vini DOC e DOCG Montefalco - Sagrantino,"Impossibile nominare il Sagrantino e non pensare subito al suo territorio di origine, Montefalco, il Balcone dell'Umbria, come viene chiamato questo piccolo borgo da cui si gode di una magnifica vista sulle valli circostanti."
110,4306985868,1261894206.0,Il Foro romano di Assisi,"Un inaspettato viaggio sotterraneo alla scoperta delle radici della cittA  di San Francesco, che con la lingua degli antichi Romani raccontano le memorie del sottosuolo."
111,4267351008,1202539491.0,La Necropoli del Lauscello,"Un prezioso sepolcreto etrusco immerso nel bosco a pochi chilometri da Castel Giorgio, al confine tra Umbria e Lazio."
113,4250875018,1253334496.0,Il Centro Geografico d'Italia Peninsulare ǽ���� Ponte Cardona,"Sono diverse le localitA  tra Umbria e Lazio che ne rivendicano l'esatta ubicazione, tuttavia secondo una serie di verifiche condotte da Giuseppe Angeletti, studioso e appassionato geografo di Perugia, e l'Istituto geografico militare (I.G.M.) di Firenze, il centro geografico d'Italia peninsulare sarebbe posizionato lungo il percorso dell'acquedotto romano della Formina, vicino a uno dei ponti romani piA1 suggestivi della cittA  di Narni, ponte Cardona."
114,4268572224,1281820735.0,"Ceselli: torrentismo, rafting e trekking","Il borgo di Ceselli (Scheggino) in Valnerina A"" meta ideale per appassionati di torrentismo"
115,4286004722,1297703885.0,Le Cascate de Lu Cugnuntu,"Un gioiello naturale, poco conosciuto, nascosto nelle pieghe della Valnerina a poca distanza da Preci, un salto di venti metri sotto il cielo dellaUmbria."
116,4347451356,1219039185.0,Parco di Archeologia Arborea di San Lorenzo di Lerchi,"La Fondazione Archeologia Arborea Onlus ha come scopo la ricerca, salvaguardia e riproduzione di alberi da frutto in via di estinzione."
118,4278234841,1240645747.0,Vini Doc Todi,"La recente denominazione di origine ha per protagonista il grechetto, qui storicamente coltivato nella varietA  conosciuta come ""di Todi""."
119,4273440446,1273814571.0,Trebbiano Spoletino,"Il Trebbiano Spoletino, quando vinificato in purezza, dA  origine ad un vino caratterizzato da profumi piuttosto fruttati, fresco, abbastanza alcolico e dalla spiccata aciditA ."
121,4255878896,1241209997.0,Vini Doc Amelia,"Grechetto, malvasia, ciliegiolo e sangiovese sono i vitigni piA1 coltivati in una zona che perA2 A"" nota per la storica produzione di Vin Santo, vino dolce dal sapore ancestrale."
123,4305850073,12579586.0,La Basilica di Santa Maria degli Angeli e Palazzo del Capitano,"La Basilica di Santa Maria degli Angeli sorse tra il 1569 e il 1679 mentre il Palazzo del Capitano si trova nella piazza principale di Assisi, Piazza del Comune."
124,4318979909,1234435109.0,Il Parco del Monte Tezio,"Alla scoperta di un mondo fatto di storia, natura incontaminata, panorami mozzafiato e piccoli borghi."
125,4322109975,1229814557.0,Tomba del Faggeto,Una passegiata nel bosco per scoprire questa interessante architettura etrusca
126,4252081172,125144322.0,Chiesa di San Domenico,"La chiesa di San Domenico a Narni, ubicata lungo via Mazzini, eretta nel XII secolo, era in origine l'antica cattedrale della cittA  dedicata a Santa Maria Maggiore."
127,4252071432,1251417344.0,Acquedotto della Formina,"L'acquedotto romano detto ""Formina"" A"" un esteso reticolo di cunicoli e corridoi realizzati nel I secolo d.C.sotto l'impero di Tiberio, che per secoli ha assicurato l'approvvigionamento idrico della cittA  di Narni e di tutto il territorio circostante."
128,4252408007,1250823116.0,Abbazia di San Cassiano,"Il complesso abbaziale si trova nei pressi di Narni, sulle pendici scoscese del monte di Santa Croce"
129,425173542,1251889116.0,Chiesa di Santa Margherita Narni,"La chiesa A"" sorta insieme al monastero annesso delle monache benedettine, ora soppresso. Fu compiuta nel 1602 come testimoniano le iscrizioni che si leggono sulla volta."
130,4252000438,1251516571.0,Chiesa di Santa Maria Impensole,"La chiesa A"" chiamata di S.Maria Impensole perchA"" costruita sul pendio. La costruzione si ebbe sui resti di una struttura piA1 antica, datata all'VIII secolo, di cui mantenne la struttura portante."
131,4293477893,1260926982.0,Il raffinato mosaico di Bevagna,"Un pavimento a mosaico a tessere bianche e nere, risalente al II secolo d. C, A"" il piA1 integro e raffinato segno lasciato a Bevagna dagli antichi Romani che chiamarono la cittA  Mevania."
132,4291057078,1233753861.0,Museo dinamico del Laterizio e delle Terrecotte,"Il museo ha sede nel trecentesco palazzo Pietromarchi di Marsciano, principale centro dellaUmbria di produzione di laterizi e cittA  interamente costruita in mattoni."
133,4290970833,1233723034.0,Teatro della Concordia - Marsciano,"Costruito nel 1873 dalla SocietA  aDella Concordiaa, sorta con lo scopo di aoffrire il diletto e laeducazione col dare trattenimenti morali sia pubblici che privatia, con progetto e disegno dellaIng. Nazareno Biscarini."
134,4289928898,1235098095.0,Chiesa di Santa Maria Assunta - Marsciano,"La costruzione della Chiesa di Santa Maria Assunta risale ad un periodo precedente al 1163: questa A"" la prima data di cui si hanno notizie certe dellaedificio."
135,4298216975,1241989077.0,La ceramica di Deruta,"Storia e caratteristiche della ceramica di Deruta: dal ""Petal Back"" al calligrafico, i colori e la tradizione decorativa"
136,4291044935,1233788406.0,Chiesa di San Giovanni Battista - Marsciano,"La chiesa di San Giovanni battista A"" situata nell'omonima piazza, al centro di Marsciano."
138,4287851601,1274283941.0,Chiesa di San Sabino,"La nuova chiesa parrocchiale A"" stata la seconda opera del cardinale Giovambattista Altieri."
139,4285758761,1236600235.0,Palazzo Altieri,"Palazzo Altieri, antica sede di vescovi e celebre per i suoi giardini, si trova nel centro storico di Fratta Todina."
140,4286844134,1226639819.0,Parco e museo vulcanologico di San Venanzo,Il Museo e l'attiguo Parco meritano una visita per la particolaritA  della raccolta e soprattutto dell'area in cui sorge.
141,4329478084,1276122729.0,Vecchio Palazzo comunale e torre - Fossato di Vico,"Nel Medioevo sono rispettivamente la bertesca del castello ( che permetteva defensam in muro comunis de super et de suptus, come voluto dagli Statuti ) e la sua annessa domus, integrata con unam domunculam pro stantia custodum; per incrementare l'armamento difensivo, ogni Vicario uscente, dopo i sei mesi di mandato, lasciava al Comune unam balistam et unam rotellam del valore di due fiorini d'oro."
142,4329484289,1276131085.0,Le Rughe di Fossato di Vico,"Un raro esempio di architettura castellana medioevale che risolve in un'unica soluzione i problemi della viabilitA  e della difesa lungo il perimetro interno della cinta muraria di ponente, sulla quale si apre la portam castri che, sotto la torre merlata, A"" tuttora l'ingresso principale del castello."
143,4329429666,1276172816.0,Chiesa di San Pietro,"E' la chiesa piA1 antica di Fossato, eretta in origine per fungere da Monastero dei Camaldolesi."
144,4329565167,1276108806.0,Chiesa di San Benedetto - Fossato di Vico,"Si trova sull'omonima via, appena fuori le mura."
145,43295288,1276175586.0,Cappella della Piaggiola,"La Chiesina di Santa Maria della Piaggiola, definita anche come antica sede del Monte di PietA , A"" un unico ambiente duecentesco con volta a botte, caratterizzato dagli affreschi ben conservati degli inizi del '400 del'eugubino Ottaviano Nelli."
146,4333794513,1273164378.0,Ponte Romano Spiano,"Il Ponte Spiano si trova poco fuori Sigillo, A"" unaopera costituita da imponenti macigni che consentiva laattraversamento del torrente Fonturci allaantica Via Flaminia."
147,4340361976,1266795706.0,"Scheggia, tra storia e natura","La cittA  di Scheggia, ricca di storia e immersa nel Parco del Monte Cucco"
148,4322000463,1210148041.0,Torre pendente di Vernazzano,"Un simbolo e un legame con la storia di questo territorio di confine, ricco di torri e castelli."
149,4312696717,1205258525.0,Chiesa di San Domenico e Museo della Confraternita,Una chiesa costruita come ringraziamento per la miracolosa guarigione della duchessa Eleonora Mendoza della Corgna
150,4295803774,1270813846.0,La Calamita Cosmica,"La ""Calamita cosmica"" A"" un'opera d'arte contemporanea di Gino de Dominicis, ospitata dal Centro Italiano di Arte Contemporanea, nei locali dell'ex Chiesa della Santissima TrinitA ."
151,4307301824,1261559494.0,Rocca maggiore di Assisi,"Nel punto piA1 alto della cittA , la rocca Maggiore di Assisi A"" raggiungibile salendo da via Porta Perlici, nei pressi della cattedrale di San Rufino, o percorrendo la circonvallazione esterna che arriva sulla cima del colle Asio."
152,429452639,121519841.0,Greppolischieto e l'antica Cittǃ�� di Fallera,"Un piccolo gioiello fortificato completamente immerso nella natura, circondato da boschi di elci, querce e castagni. Una vera e propria terrazza naturale sul territorio circostante."
153,4323151712,1278460383.0,"Museo Regionale dell'Emigrazione ""Pietro Conti""","Il museo A"" ospitato all'interno degli ambienti del palazzo del PodestA , nel centro storico di Gualdo Tadino, cittadina situata nella parte nord-est dell'Umbria, vicino al confine con le Marche."
154,4323119083,1278530186.0,Cattedrale di San Benedetto,La basilica cattedrale di San Benedetto domina la piazza maggiore di Gualdo Tadino chiudendola visivamente sul lato orientale con la sua facciata.
155,4323107327,127847571.0,Palazzo Comunale - Gualdo Tadino,"Il Palazzo Comunale sorse in seguito alla distruzione dell'antico Palazzo dei Rettori delle Arti e dei Priori, causata del sisma del 1751."
156,4341520174,1278168595.0,Abbazia di Santǽ����Emiliano in Congiuntoli,"Contesto: montagnaDatazione: XIII SECOLOLaantica badia A"" raggiungibile dalla strada che si sviluppa sulle pendici del Monte Catria, partendo da Scheggia e muovendo in direzione Sassoferrato; sorge sulla confluenza tra il fiume Sentino e il rio Freddo, da cui trae il nome di Congiuntoli (congiunzione)."
157,4335897486,127117472.0,Chiesa di San Francesco - Costacciaro,"La Chiesa di San Francesco A"" stata costruita intorno alla metA  del XIII secolo ed ampliata all'inizio del 1700."
158,4333114152,1274101352.0,Chiesa di Sant'Agostino - Sigillo,"La chiesa di SantaAgostino, localizzata allainterno del borgo di Sigillo, venne edificata tra il 1788 ed il 1791 dallaarchitetto svizzero Giacomo Cantoni sulle fondamenta dellaantica Chiesa di Santa Caterina di cui oggi rimane la sola Cripta medievale, restaurata dallaAmministrazione Comunale ed adibita a centro culturale."
159,4333268988,1273653421.0,Chiesa di Sant'Anna - Sigillo,"Sorge sullaantica Via Flaminia, chiamata ora la chiesa del cimitero, fu edificata con le elemosine del popolo nella metA  del a400."
160,4315971907,1260162907.0,Chiesa di Santa Maria Assunta - Valfabbrica,"La chiesa faceva parte dell'abbazia benedettina di Santa Maria in Vado Fabrice, che alcuni studiosi indicano come il luogo in cui Francesco trovA2 ospitalitA  dopo aver abbandonato la sua cittA , durante il tragitto per Gubbio."
161,4315846806,1260117331.0,Chiesa di San Sebastiano - Valfabbrica,"Sorta nel XIV secolo all'interno del castello di Valfabbrica, a ridosso del muro perimetrale."
162,4319797212,1264610273.0,Santuario della Madonna dell'Olmo,"Si trova nella parte piA1 moderna del paese, presso il parco pubblico."
163,4334993924,1272672691.0,Chiesa di Santa Maria Assunta - Sigillo,"Santuario della Madonna Assunta in Cielo (XII secolo), in stile romanico, con una campana risalente al 1250."
165,4254826984,1271884386.0,"HYDRA, Museo Multimediale della Cascata delle Marmore",La nuova attrazione turistica che esalta la bellezza dellaarea del belvedere superiore attraverso lautilizzo di tecnologie all'avanguardia
